#Compiled by SeeTweet 2.1.7b.
#Search performed at 2013-10-13 14:56
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: y'all
source,city,state,lat,long,uid,tid,center,incl
citystate,atlanta,ga,33.7489954,-84.3879824,63190686,389509140508585984,0,1
citystate,austin,tx,30.267153,-97.7430608,429555620,389509121541562368,0,1
citystate,cleveland,oh,41.4994954,-81.6954088,42027513,389509096656736256,0,1
citystate,pearland,tx,29.5635666,-95.2860474,823542469,389509092928389120,0,1
citystate,natchez,ms,31.5604442,-91.403171,274174869,389509075718787072,0,1
geo,unk,unk,33.6726995,-93.5946458,625295376,389509053203755009,0,1
citystate,college station,tx,30.627977,-96.3344068,393829758,389509050250952704,0,1
citystate,portsmouth,va,36.8354258,-76.2982742,28493924,389509034644348928,0,1
geo,unk,unk,37.68722078,-77.67844912,271143071,389509031293112320,0,1
citystate,chicago,il,41.850033,-87.6500523,19633774,389509021667164160,0,1
citystate,corpus christi,tx,27.8005828,-97.396381,727133275,389509010111475713,0,1
citystate,wilmington,de,39.7459467,-75.5465889,249951989,389508986611171328,0,1
geo,unk,unk,34.05788537,-84.25892053,40716442,389508983540961281,0,1
citystate,houston,tx,29.7632836,-95.3632715,632216689,389508977119096832,0,1
citystate,miami,fl,25.7742658,-80.1936589,338547348,389508972241514496,0,1
citystate,san marcos,tx,29.8832749,-97.9413941,1703560664,389508954356580352,0,1
citystate,dallas,tx,32.7830556,-96.8066667,1523848412,389508942537043968,0,1
knowncity,austin texas,unk,30.25,-97.75,30514922,389508939366166528,0,1
citystate,west baltimore,md,39.2559403,-76.6588575,230873304,389508918072049664,0,1
geo,unk,unk,33.73191445,-85.34089182,164739510,389508904419221504,0,1
geo,unk,unk,33.60728188,-84.05237173,239050909,389508890716807169,0,1
knowncity,philly,unk,39.95,-75.17,36459910,389508887587876864,0,1
knowncity,cincinnati,unk,39.13,-84.5,535795252,389508862505517057,0,1
geo,unk,unk,33.9488445,-84.163482,1084728690,389508858504167424,0,1
citystate,miami,fl,25.7742658,-80.1936589,73829621,389508857313378304,0,1
citystate,robersonville,nc,35.8251589,-77.2491298,325301165,389508851268997121,0,1
geo,unk,unk,30.19860257,-81.58986896,920155064,389508851177127936,0,1
geo,unk,unk,32.56907528,-97.3652199,142295754,389508831312506881,0,1
knowncity,philly,unk,39.95,-75.17,477293235,389508830033608706,0,1
citystate,germantown,tn,36.2283888,-87.1291714,388066608,389508830016462848,0,1
citystate,indianapolis,in,39.7683765,-86.1580423,234127894,389508827919695872,0,1
citystate,birmingham,al,33.5206608,-86.80249,39988048,389508827559002112,0,1
citystate,washington,dc,38.8951118,-77.0363658,353081211,389508812245180416,0,1
citystate,san antonio,tx,29.4241219,-98.4936282,1717715942,389508810420666368,0,1
knowncity,tallahassee,unk,30.45,-84.27,19677117,389508803583934464,0,1
geo,unk,unk,32.46210062,-83.73189489,279886983,389508795518701568,0,1
geo,unk,unk,30.14561609,-81.5970518,540320276,389508795401244672,0,1
citystate,west monroe,la,32.5184775,-92.1476353,355753898,389508780352077824,0,1
geo,unk,unk,30.04288838,-90.25434611,345041662,389508779982606336,0,1
citystate,deming,nm,32.2686981,-107.7586404,974699486,389508759006879744,0,1
citystate,new orleans,la,29.9546482,-90.075072,103726381,389508753818927104,0,1
citystate,albany,ga,31.5785074,-84.155741,342790419,389508752518701056,0,1
knowncity,new york city,unk,40.72,-74,428659031,389508748156620800,0,1
geo,unk,unk,27.51950871,-99.45964359,499300395,389508742032551936,0,1
citystate,dallas,tx,32.7830556,-96.8066667,310430984,389508740057018368,0,1
citystate,vidalia,la,31.5654441,-91.4259495,426891947,389508739096514560,0,1
geo,unk,unk,38.44634409,-78.8693161,327005779,389508731668791296,0,1
geo,unk,unk,29.72564557,-95.41282,1055875316,389508724550692864,0,1
knowncity,brooklyn,unk,40.69,-73.99,373043665,389508710256898048,0,1
citystate,detroit,mi,42.331427,-83.0457538,287041466,389508700949712896,0,1
geo,unk,unk,35.75907705,-79.47591824,574837137,389508698856767489,0,1
geo,unk,unk,30.42424957,-91.18467422,233687238,389508687481405440,0,1
knowncity,new orleans,unk,29.97,-90.05,196916813,389508687120719872,0,1
citystate,harrisonburg,va,38.4495688,-78.8689156,1095789577,389508666581614592,0,1
citystate,toledo,oh,41.6639383,-83.555212,38319236,389508663649767424,0,1
knowncity,new orleans,unk,29.97,-90.05,36075606,389508661946490880,0,1
knowncity,madison,unk,43.07,-89.4,935474503,389508660721754112,0,1
citystate,college station,tx,30.627977,-96.3344068,516845956,389508646939271168,0,1
knowncity,jacksonville,unk,30.32,-81.66,48098217,389508644297261056,0,1
citystate,frisco,tx,33.1506744,-96.8236116,514452829,389508642933710848,0,1
citystate,tomball,tx,30.0971621,-95.6160549,254592811,389508641318903809,0,1
knowncity,atlanta,unk,33.75,-84.39,419786887,389508628853440512,0,1
citystate,nashville,tn,36.1658899,-86.7844432,161186741,389508624705277952,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508594682441729,0,1
geo,unk,unk,33.22989816,-97.12762676,444269624,389508592891490304,0,1
citystate,hammonton,nj,39.6365056,-74.8023853,541262774,389508592711524352,0,1
citystate,aurora,il,41.7605849,-88.3200715,713276066,389508592522780672,0,1
knowncity,atl,unk,33.75,-84.39,170178795,389508568611037184,0,1
citystate,madison,al,32.4237482,-86.2263563,241024915,389508566593593344,0,1
citystate,nashville,tn,36.1658899,-86.7844432,394549666,389508543763992578,0,1
knowncity,nyc,unk,40.72,-74,505066620,389508543717847040,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508542190727172,0,1
citystate,clinton,nc,35.7568057,-80.4600575,576290166,389508520246525952,0,1
knowncity,austin texas,unk,30.25,-97.75,30514922,389508456178135040,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508454080974848,0,1
knowncity,new orleans,unk,29.97,-90.05,36075606,389508440256561152,0,1
knowncity,chicago ,unk,41.88,-87.62,100796137,389508438314602498,0,1
geo,unk,unk,28.34895192,-80.74501223,1276338031,389508435533758464,0,1
knowncity,charlotte,unk,35.23,-80.84,55483216,389508435282124800,0,1
citystate,louisville,ky,38.2542376,-85.759407,343012609,389508424007839744,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508410858696705,0,1
citystate,atlantic beach,fl,30.3344077,-81.398696,33798313,389508397533765633,0,1
geo,unk,unk,36.06432525,-86.68829817,222851875,389508397449904128,0,1
llprofile,unk,unk,29.705691,-95.494821,468863012,389508396371570688,0,1
citystate,pembroke,nc,34.6801627,-79.1950373,522520293,389508389208068096,0,1
citystate,bay city,mi,43.5944677,-83.8888648,439433454,389508380567433216,0,1
citystate,haines city,fl,28.1141841,-81.6178536,562356287,389508379783491584,0,1
citystate,brooklyn,ny,40.6501038,-73.9495823,220359582,389508374205067264,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508363836329984,0,1
citystate,houston,tx,29.7632836,-95.3632715,31709802,389508352478158848,0,1
geo,unk,unk,33.73191445,-85.34089182,164739510,389508352356536320,0,1
geo,unk,unk,35.99650604,-87.96205952,543142503,389508348833300480,0,1
geo,unk,unk,32.6639066,-96.767603,217840902,389508338506948608,0,1
knowncity,houston,unk,29.76,-95.38,405958907,389508318789906432,0,1
citystate,murfreesboro,tn,35.8456213,-86.39027,264986072,389508315501182976,0,1
knowncity,boston,unk,42.35,-71.06,99810237,389508295268245505,0,1
citystate,san antonio,tx,29.4241219,-98.4936282,407017607,389508284769505280,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508281569259520,0,1
geo,unk,unk,32.777934,-97.3556121,437111327,389508270647300096,0,1
citystate,norristown,pa,40.121497,-75.3399048,44959537,389508265182494721,0,1
ut,unk,unk,33.729905,-84.726014,128980045,389508255225245697,0,1
geo,unk,unk,38.94302696,-75.88696077,107347321,389508241711190016,0,1
geo,unk,unk,37.40470305,-79.14488785,954117002,389508228628754432,0,1
citystate,dallas,tx,32.7830556,-96.8066667,44205314,389508225449472001,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508210039599104,0,1
citystate,washington,dc,38.8951118,-77.0363658,89450308,389508205212360706,0,1
knowncity,chicago,unk,41.88,-87.62,171688196,389508192750678016,0,1
citystate,jacksonville,fl,30.3321838,-81.655651,707147021,389508190138028033,0,1
knowncity,miami,unk,25.78,-80.22,66886958,389508178922442752,0,1
citystate,san marcos,tx,29.8832749,-97.9413941,615605654,389508159099777024,0,1
citystate,loganville,ga,33.8389977,-83.9007382,412588982,389508158420705280,0,1
geo,unk,unk,32.47987047,-93.88546198,379996832,389508156315156480,0,1
geo,unk,unk,33.59881149,-84.3345005,55457230,389508155841191936,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508143601815552,0,1
knowncity,dallas,unk,32.78,-96.8,347022861,389508141651480576,0,1
knowncity,new orleans,unk,29.97,-90.05,371118623,389508125310853120,0,1
knowncity,new orleans,unk,29.97,-90.05,608702129,389508118800891904,0,1
citystate,irving,tx,32.8140177,-96.9488945,1909360166,389508113751371776,0,1
citystate,new orleans,la,29.9546482,-90.075072,321684434,389508088736137216,0,1
citystate,clinton,nc,35.7568057,-80.4600575,576290166,389508087801212928,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508074811031552,0,1
citystate,richmond,va,37.5537575,-77.4602617,289239834,389508073100161025,0,1
geo,unk,unk,42.0862776,-72.5089255,393604284,389508067689508866,0,1
citystate,dallas,tx,32.7830556,-96.8066667,370958684,389508051138392064,0,1
citystate,harrisburg,pa,40.0556669,-75.025171,258533339,389508045082218498,0,1
citystate,nashville,tn,36.1658899,-86.7844432,1947214740,389508039096537088,0,1
geo,unk,unk,33.99982189,-81.03861105,305387456,389508036538421249,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389508028795334657,0,1
geo,unk,unk,32.31657968,-95.24446049,147378197,389508018414428160,0,1
citystate,west baltimore,md,39.2559403,-76.6588575,230873304,389508013528453120,0,1
knowncity,atlanta by way of new orleans,unk,33.75,-84.39,169962337,389507988341673984,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507984537030656,0,1
citystate,shreveport,la,32.5251516,-93.7501789,711423714,389507978208243712,0,1
citystate,fort worth,tx,32.725409,-97.3208496,426319616,389507972809752576,0,1
geo,unk,unk,34.62009901,-79.66993256,95723334,389507968183853056,0,1
citystate,orlando,fl,28.5383355,-81.3792365,323371726,389507951788298240,0,1
llprofile,unk,unk,29.705691,-95.494821,468863012,389507946960277505,0,1
knowncity,norfolk,unk,36.91,-76.2,1619023356,389507936877551616,0,1
citystate,louisville,ky,38.2542376,-85.759407,329863099,389507934906249217,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507927154782208,0,1
citystate,nashville,tn,36.1658899,-86.7844432,446291458,389507925745487872,0,1
citystate,austin,tx,30.267153,-97.7430608,249519553,389507913783312384,0,1
citystate,greensboro,nc,36.0726355,-79.7919754,38433600,389507911053238272,0,1
citystate,washington,dc,38.8951118,-77.0363658,454581274,389507905822932992,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,45729244,389507899401072641,0,1
geo,unk,unk,33.58798937,-101.86762715,134799534,389507899099082752,0,1
knowncity,miami,unk,25.78,-80.22,157134532,389507891230961664,0,1
citystate,dallas,tx,32.7830556,-96.8066667,281197329,389507889528066048,0,1
citystate,miami,fl,25.7742658,-80.1936589,1604180917,389507888374218752,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507880027582464,0,1
citystate,baltimore,md,39.2903848,-76.6121893,48606393,389507879444946945,0,1
knowncity,new orleans  houston,unk,29.97,-90.05,124849997,389507847265857536,0,1
geo,unk,unk,33.081859,-82.0099215,797224057,389507845534019584,0,1
knowncity,chicago,unk,41.88,-87.62,249831478,389507833584050176,0,1
geo,unk,unk,25.73345675,-80.44103952,915918613,389507795235921920,0,1
citystate,norfolk,va,36.8468146,-76.2852183,66432003,389507790223712256,0,1
citystate,charleston,sc,32.7765656,-79.9309216,316902975,389507786196791296,0,1
knowncity,chicago,unk,41.88,-87.62,81882102,389507771538112512,0,1
geo,unk,unk,38.94310725,-75.88687131,107347321,389507767108911104,0,1
geo,unk,unk,30.17572578,-81.83377108,65329119,389507763061391361,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507756941516800,0,1
citystate,brooklyn,ny,40.6501038,-73.9495823,220359582,389507725606285312,0,1
knowncity,miami,unk,25.78,-80.22,359669782,389507720367591424,0,1
citystate,knoxville,tn,35.9606384,-83.9207392,14914413,389507712003735552,0,1
citystate,gilbert,sc,33.9243121,-81.3937132,743037774,389507710313848833,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507701467648000,0,1
knowncity,miami,unk,25.78,-80.22,66886958,389507680391684096,0,1
citystate,hattiesburg,ms,31.3271189,-89.2903392,325351529,389507678869131264,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,301098951,389507665543839745,0,1
citystate,dallas,tx,32.7830556,-96.8066667,154614774,389507665446961152,0,1
citystate,new iberia,la,30.0035365,-91.8187285,51948516,389507654835777536,0,1
citystate,orlando,fl,28.5383355,-81.3792365,15508105,389507649215426560,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507645150748672,0,1
citystate,chesapeake,va,36.8190369,-76.2749399,556505000,389507640994566144,0,1
citystate,goliad,tx,28.6683252,-97.3883265,945066180,389507618386886656,0,1
citystate,washington,dc,38.8951118,-77.0363658,80124042,389507613115052032,0,1
citystate,lake arthur,la,30.080764,-92.6715308,342315469,389507609146826752,0,1
citystate,moulton,al,34.4812062,-87.2933533,351441885,389507601555529728,0,1
citystate,houston,tx,29.7632836,-95.3632715,632216689,389507599881625600,0,1
knowncity,atlanta,unk,33.75,-84.39,82246857,389507595897434112,0,1
citystate,raleigh,nc,35.772096,-78.6386145,20013414,389507595792183297,0,1
geo,unk,unk,34.62009901,-79.66993256,95723334,389507592592326657,0,1
geo,unk,unk,42.36738155,-83.11073198,323430558,389507592231587841,0,1
llprofile,unk,unk,33.559623,-84.296974,94155181,389507591262326784,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507588737355776,0,1
knowncity,austin,unk,30.25,-97.75,66268091,389507581669941248,0,1
citystate,columbus,ga,32.4609764,-84.9877094,251649206,389507580491755520,0,1
citystate,detroit,mi,42.331427,-83.0457538,310097198,389507576410296320,0,1
citystate,sweet home,al,33.5556614,-85.8999661,1571325336,389507570756755456,0,1
knowncity,new orleans,unk,29.97,-90.05,382338260,389507561902190592,0,1
citystate,houston,tx,29.7632836,-95.3632715,104949976,389507555195895808,0,1
citystate,baltimore,md,39.2903848,-76.6121893,337934184,389507553555935232,0,1
citystate,auburn,al,32.6098566,-85.4807825,129009576,389507542260645888,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507537231298560,0,1
citystate,jacksonville,fl,30.3321838,-81.655651,332406595,389507520018268160,0,1
citystate,new orleans,la,29.9546482,-90.075072,173200351,389507515517399041,0,1
knowncity,philly,unk,39.95,-75.17,36459910,389507513936543744,0,1
citystate,tampa,fl,27.9475216,-82.4584279,735722390,389507494273626112,0,1
citystate,austin,tx,30.267153,-97.7430608,238149938,389507489076506624,0,1
geo,unk,unk,29.6952614,-95.1966017,249448525,389507483665846272,0,1
citystate,huntsville,tx,30.7235263,-95.5507771,308264650,389507478813036544,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507476908806145,0,1
citystate,deming,nm,32.2686981,-107.7586404,974699486,389507457547919360,0,1
citystate,oak grove,la,32.8609625,-91.3884483,437182447,389507450409209856,0,1
knowncity,philly,unk,39.95,-75.17,1138112023,389507450304741376,0,1
knowncity,houston,unk,29.76,-95.38,385686313,389507446626349056,0,1
knowncity,new orleans,unk,29.97,-90.05,488056769,389507444336242688,0,1
citystate,clemson,sc,34.6834382,-82.8373654,592717675,389507443031826432,0,1
knowncity,atlanta,unk,33.75,-84.39,42794466,389507438497787904,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,301098951,389507432583823360,0,1
knowncity,detroit,unk,42.33,-83.05,175593914,389507429588664320,0,1
citystate,dallas,tx,32.7830556,-96.8066667,102430227,389507417450356737,0,1
citystate,myrtle beach,sc,33.6890603,-78.8866943,389145411,389507410471452672,0,1
citystate,valdosta,ga,30.8327022,-83.2784851,608525253,389507408071901185,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,236439507,389507405924798464,0,1
citystate,los fresnos,tx,26.0717438,-97.4763733,1520314201,389507404330577920,0,1
llprofile,unk,unk,29.705691,-95.494821,468863012,389507398320148480,0,1
geo,unk,unk,29.7269063,-95.4715882,1952787498,389507392125145088,0,1
citystate,lexington,ky,37.9886892,-84.4777153,60362902,389507377315446784,0,1
citystate,washington,dc,38.8951118,-77.0363658,1053742598,389507373704151040,0,1
geo,unk,unk,38.9426712,-75.8869163,107347321,389507373175697408,0,1
knowncity,baltimore,unk,39.28,-76.62,593338022,389507361553264640,0,1
citystate,nashville,tn,36.1658899,-86.7844432,59005254,389507357627006976,0,1
citystate,phoenix,az,33.4483771,-112.0740373,1940051690,389507345094426624,0,1
knowncity,new orleans,unk,29.97,-90.05,27189587,389507334881304576,0,1
ut,unk,unk,42.492067,-83.238962,99979760,389507326744354817,0,1
knowncity,miami,unk,25.78,-80.22,157134532,389507315483049985,0,1
geo,unk,unk,25.98735383,-80.18640134,489029983,389507300631007233,0,1
citystate,crystal city,tx,28.6774795,-99.8281104,393007496,389507292372017152,0,1
geo,unk,unk,30.10610881,-93.74461469,329992142,389507292166508544,0,1
geo,unk,unk,29.73433673,-95.57709744,38611730,389507289608376320,0,1
citystate,lafayette,la,30.2240897,-92.0198427,380121355,389507284721598464,0,1
citystate,nashville,tn,36.1658899,-86.7844432,257220192,389507278564360192,0,1
